"","line","stop_name","latitude","longitude","borough"
"436","Lenox - White Plains Rd","149 St-Grand Concourse",40.81841,-73.926718,"Bronx"
"437","Lenox - White Plains Rd","Harlem-148 St",40.82388,-73.93647,"Manhattan"
"438","Lenox - White Plains Rd","145 St",40.820421,-73.936245,"Manhattan"
"439","Lenox - White Plains Rd","135 St",40.814229,-73.94077,"Manhattan"
"440","Lenox - White Plains Rd","125 St",40.807754,-73.945495,"Manhattan"
"441","Lenox - White Plains Rd","116 St",40.802098,-73.949625,"Manhattan"
"442","Lenox - White Plains Rd","Central Park North (110 St)",40.799075,-73.951822,"Manhattan"
"443","Dyre Av","Eastchester-Dyre Av",40.8883,-73.830834,"Bronx"
"444","Dyre Av","Baychester Av",40.878663,-73.838591,"Bronx"
"445","Dyre Av","Gun Hill Rd",40.869526,-73.846384,"Bronx"
"446","Dyre Av","Pelham Pkwy",40.858985,-73.855359,"Bronx"
"447","Dyre Av","Morris Park",40.854364,-73.860495,"Bronx"
"448","Flushing","Flushing-Main St",40.7596,-73.83003,"Queens"
"449","Flushing","Mets-Willets Point",40.754622,-73.845625,"Queens"
"450","Flushing","111 St",40.75173,-73.855334,"Queens"
"451","Flushing","103 St-Corona Plaza",40.749865,-73.8627,"Queens"
"452","Flushing","Junction Blvd",40.749145,-73.869527,"Queens"
"453","Flushing","90 St-Elmhurst Av",40.748408,-73.876613,"Queens"
"454","Flushing","82 St-Jackson Hts",40.747659,-73.883697,"Queens"
"455","Flushing","74 St-Broadway",40.746848,-73.891394,"Queens"
"456","Flushing","69 St",40.746325,-73.896403,"Queens"
"457","Flushing","61 St-Woodside",40.74563,-73.902984,"Queens"
"458","Flushing","52 St",40.744149,-73.912549,"Queens"
"459","Flushing","46 St-Bliss St",40.743132,-73.918435,"Queens"
"460","Flushing","40 St-Lowery St",40.743781,-73.924016,"Queens"
"461","Flushing","33 St-Rawson St",40.744587,-73.930997,"Queens"
"462","Flushing","Queensboro Plaza",40.750582,-73.940202,"Queens"
"463","Astoria","Queensboro Plaza",40.750582,-73.940202,"Queens"
"464","Flushing","Court Sq",40.747023,-73.945264,"Queens"
"465","Flushing","Hunters Point Av",40.742216,-73.948916,"Queens"
"466","Flushing","Vernon Blvd-Jackson Av",40.742626,-73.953581,"Queens"
"467","Flushing","Grand Central-42 St",40.751431,-73.976041,"Manhattan"
"468","Flushing","5 Av",40.753821,-73.981963,"Manhattan"
"469","Flushing","Times Sq-42 St",40.755477,-73.987691,"Manhattan"
"470","Lexington - Shuttle","Times Sq-42 St",40.755983,-73.986229,"Manhattan"
"471","Lexington - Shuttle","Grand Central-42 St",40.752769,-73.979189,"Manhattan"
"472","Flushing","34 St-Hudson Yards",40.755882,-74.00191,"Manhattan"
"473","Second Av","96 St",40.784318,-73.947152,"Manhattan"
"474","Second Av","86 St",40.777891,-73.951787,"Manhattan"
"475","Second Av","72 St",40.768799,-73.958424,"Manhattan"
"476","Staten Island","St George",40.643748,-74.073643,"Staten Island"
"477","Staten Island","Tompkinsville",40.636949,-74.074835,"Staten Island"
"478","Staten Island","Stapleton",40.627915,-74.075162,"Staten Island"
"479","Staten Island","Clifton",40.621319,-74.071402,"Staten Island"
"480","Staten Island","Grasmere",40.603117,-74.084087,"Staten Island"
"481","Staten Island","Old Town",40.596612,-74.087368,"Staten Island"
"482","Staten Island","Dongan Hills",40.588849,-74.09609,"Staten Island"
"483","Staten Island","Jefferson Av",40.583591,-74.103338,"Staten Island"
"484","Staten Island","Grant City",40.578965,-74.109704,"Staten Island"
"485","Staten Island","New Dorp",40.57348,-74.11721,"Staten Island"
"486","Staten Island","Oakwood Heights",40.56511,-74.12632,"Staten Island"
"487","Staten Island","Bay Terrace",40.5564,-74.136907,"Staten Island"
"488","Staten Island","Great Kills",40.551231,-74.151399,"Staten Island"
"489","Staten Island","Eltingville",40.544601,-74.16457,"Staten Island"
"490","Staten Island","Annadale",40.54046,-74.178217,"Staten Island"
"491","Staten Island","Huguenot",40.533674,-74.191794,"Staten Island"
"492","Staten Island","Prince's Bay",40.525507,-74.200064,"Staten Island"
"493","Staten Island","Pleasant Plains",40.52241,-74.217847,"Staten Island"
"494","Staten Island","Richmond Valley",40.519631,-74.229141,"Staten Island"
"495","Staten Island","Tottenville",40.512764,-74.251961,"Staten Island"
"496","Staten Island","Arthur Kill",40.516578,-74.242096,"Staten Island"
